p_length,p_width,b_length,b_width,spec
5,0.67,1.38,0.29,j
1.67,0.43,1,0.38,c
1.4,0.4,0.92,0.36,c
3.7,0.52,1.26,0.49,j
3.66,0.6,1.33,0.4,c
9.53,1.04,4.19,0.78,t
8.74,0.81,5.16,0.61,t
7.67,1.49,3.02,1.17,t
3.17,0.49,1.77,0.51,j
3.68,0.4,2.03,0.59,c
2.85,0.5,1.87,0.36,c
8.81,1.21,5.36,1.03,t
4.52,0.64,1,0.26,j
8.68,2.1,4.21,1.25,t
5.43,1.39,1,0.48,j
5.26,1.22,1.51,0.62,c
5.29,0.98,1.06,0.38,j
5.63,0.82,1.51,0.36,c
9.44,1.82,3.07,0.71,t
5.27,1.64,1.3,0.4,c
5.19,0.55,1.32,0.28,j
10.93,3.24,4.97,1.11,t
10.27,2.26,4.6,0.97,t
9.95,0.99,1.73,0.25,j
9.34,1.21,2.23,0.36,c
3.31,1.37,0.86,0.48,j
3.32,1.26,1.33,0.24,c
8.31,1.56,5.21,1.72,t
3.21,0.98,1.73,0.57,c
3.29,1.49,1.34,0.46,j
7.13,2.03,5.36,1.26,t
4.79,0.42,1.19,0.38,c
2.71,0.49,1.95,0.34,j
8.93,1.48,5.89,1.29,t
9.83,0.5,0.77,0.21,j
8.39,1.97,7.04,1.06,t
2.4,0.69,1.44,0.41,c
